Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	2.477	1.116	0.0	7.9	1.57	1.93	0.0	0.00	132.3	0.0	8.0	11.9	0.000	1.525	0.951	2.469	0.008
20151002	1.885	0.592	0.0	5.9	1.45	1.81	0.0	0.00	130.8	0.0	4.0	14.0	0.000	0.766	1.119	1.879	0.006
20151003	1.402	0.452	0.0	6.2	1.24	1.57	0.0	0.00	129.6	0.0	0.7	16.0	0.000	0.128	1.274	1.397	0.005
20151004	1.230	0.376	0.0	6.4	1.27	1.61	0.0	0.00	128.3	0.0	0.0	15.4	0.000	0.000	1.230	1.225	0.004
20151005	1.139	0.340	0.0	7.3	0.96	1.24	0.0	0.00	127.4	0.0	0.0	14.3	0.000	0.000	1.139	1.135	0.004
20151006	1.058	0.319	0.1	8.6	0.99	1.29	0.0	0.00	126.4	0.0	0.0	13.3	0.000	0.000	1.058	1.054	0.004
20151007	0.980	0.314	0.0	10.8	1.35	1.77	0.0	0.00	125.1	0.0	0.0	12.3	0.000	0.000	0.980	0.976	0.003
20151008	0.908	0.308	0.0	7.1	1.47	1.94	0.0	0.00	123.6	0.0	0.0	11.4	0.000	0.000	0.908	0.904	0.003
20151009	1.777	1.196	17.1	7.1	1.07	1.38	0.0	0.00	132.0	7.6	3.7	13.5	0.000	0.699	1.078	1.772	0.005
20151010	1.332	0.728	0.3	4.9	1.31	1.64	0.0	0.00	130.9	0.1	0.5	15.5	0.000	0.095	1.236	1.328	0.004
20151011	1.182	0.533	0.0	9.3	1.16	1.47	0.0	0.00	129.7	0.0	0.0	14.8	0.000	0.000	1.182	1.178	0.004
20151012	1.095	0.467	0.0	13.4	1.07	1.36	0.0	0.00	128.7	0.0	0.0	13.7	0.000	0.000	1.095	1.091	0.003
20151013	1.184	0.469	5.0	13.2	1.64	2.08	0.0	0.00	129.7	2.3	0.0	14.9	0.000	0.000	1.184	1.180	0.003
20151014	1.267	0.666	4.9	6.0	1.59	2.00	0.0	0.00	130.7	2.3	0.0	15.9	0.000	0.000	1.267	1.263	0.004
20151015	1.173	0.539	0.0	6.4	1.28	1.61	0.0	0.00	129.4	0.0	0.0	14.7	0.000	0.000	1.173	1.170	0.003
20151016	1.162	0.553	2.2	4.2	1.58	2.01	0.0	0.00	129.0	1.0	0.0	14.6	0.000	0.000	1.162	1.158	0.003
20151017	1.341	0.594	7.2	-0.6	1.60	2.01	0.0	0.00	131.3	3.4	0.1	16.5	0.000	0.028	1.314	1.338	0.003
20151018	1.227	0.564	0.8	-3.3	1.41	1.78	0.6	1.00	129.8	0.0	0.0	15.4	0.000	0.000	1.227	1.224	0.003
20151019	1.137	0.516	0.8	-2.3	0.00	1.73	1.2	1.00	129.8	0.0	0.0	14.3	0.000	0.000	1.137	1.134	0.003
20151020	1.109	0.569	0.4	7.1	0.00	1.22	0.0	0.00	130.7	0.8	0.0	13.9	0.000	0.000	1.109	1.105	0.003
20151021	1.058	0.528	0.9	9.6	0.64	0.81	0.0	0.00	130.5	0.4	0.0	13.3	0.000	0.000	1.058	1.055	0.003
20151022	1.015	0.495	1.0	10.5	1.31	1.65	0.0	0.00	129.8	0.5	0.0	12.7	0.000	0.000	1.015	1.011	0.004
20151023	0.950	0.459	0.3	1.8	1.32	1.67	0.0	0.00	128.6	0.1	0.0	11.9	0.000	0.000	0.950	0.947	0.003
20151024	0.880	0.416	0.0	1.6	1.38	1.77	0.0	0.00	127.2	0.0	0.0	11.0	0.000	0.000	0.880	0.877	0.003
20151025	0.939	0.519	3.8	6.4	1.13	1.46	0.0	0.00	128.2	1.7	0.0	11.8	0.000	0.000	0.939	0.934	0.004
20151026	0.896	0.476	0.8	1.8	1.05	1.35	0.0	0.00	127.6	0.4	0.0	11.2	0.000	0.000	0.896	0.891	0.004
20151027	0.829	0.432	0.0	2.4	1.01	1.30	0.0	0.00	126.6	0.0	0.0	10.4	0.000	0.000	0.829	0.826	0.004
20151028	1.867	0.944	18.0	3.1	1.23	1.54	0.0	0.00	134.8	8.6	4.5	12.6	0.000	0.861	1.006	1.853	0.014
20151029	2.910	3.926	16.9	10.5	1.08	1.29	0.0	0.00	141.0	9.6	9.1	14.7	0.000	1.741	1.169	2.888	0.022
20151030	2.413	1.432	1.5	1.2	1.60	1.86	0.0	0.00	140.0	0.9	5.7	16.6	0.000	1.092	1.321	2.395	0.018
20151031	1.863	1.030	0.0	1.8	0.86	1.02	0.0	0.00	139.2	0.0	2.1	18.3	0.000	0.402	1.461	1.849	0.014
20151101	1.547	0.931	0.9	5.2	0.50	0.59	0.0	0.00	139.0	0.5	0.0	19.4	0.000	0.000	1.547	1.536	0.011
20151102	1.454	0.828	0.5	5.7	0.53	0.63	0.0	0.00	138.7	0.3	0.0	18.3	0.000	0.000	1.454	1.444	0.011
20151103	1.351	0.793	0.1	8.2	0.89	1.06	0.0	0.00	137.9	0.1	0.0	17.0	0.000	0.000	1.351	1.341	0.010
20151104	1.251	0.746	0.0	7.5	0.85	1.01	0.0	0.00	137.0	0.0	0.0	15.7	0.000	0.000	1.251	1.242	0.009
