TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	Calcite(s)_UZ  	Calcite-lz(s)_UZ	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	Calcite(s)_LZ  	Calcite-lz(s)_LZ	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	Calcite(s)_riv 	Calcite-lz(s)_riv	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	Calcite(s)_rate_UZ     	Calcite-lz(s)_rate_UZ  	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	Calcite(s)_rate_LZ     	Calcite-lz(s)_rate_LZ  	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.09563e-06    	1.00198e-05    	0.000379338    	0.000432048    	0.00057703     	0.0200072      	0.0847712      	7.34823e-10    	0.0127342      	2.68905e-09    	10             	9.9169e-09     	1.87526e-08    	0.000855636    	0.00649276     	4.23317e-07    	8.0929e-06     	0.000709381    	0.000633054    	6.30974e-05    	0.000238004    	8.65951e-10    	0.00735698     	2.71568e-09    	0.0406102      	87             	2.60749e-08    	9.37158e-08    	0.000608574    	8.44621e-06    	7.35099e-07    	9.27971e-06    	0.000506021    	0.000509252    	0.000379635    	8.24056e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.48773e-08    	3.778e-08      	0.000760834    	1.75944e-21    	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.4598e-07     	1.01174e-05    	0.000435626    	0.000494301    	0.000591787    	0.0198826      	0.0847701      	7.34821e-10    	0.0127287      	2.68903e-09    	10             	1.15393e-08    	2.51782e-08    	0.000844461    	0.00661741     	4.28769e-07    	8.11925e-06    	0.000706708    	0.00063182     	6.77488e-05    	0.000237404    	8.65951e-10    	0.00735698     	2.71569e-09    	0.0406102      	87             	2.57409e-08    	9.21579e-08    	0.000614148    	9.046e-06      	5.82945e-07    	8.93125e-06    	0.000596511    	0.000575937    	0.0002807      	8.63654e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.88525e-08    	5.6721e-08     	0.000707786    	1.36346e-21    	-0.00171881            	-2.25038e-12           	-0.0081158             	-2.05766e-11           	3.56478e-07            	-1.47143e-14           	-0.000395287           	6.88249e-10            	-0.000165387           	-0.000450369           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.74652e-07    	1.01992e-05    	0.000470655    	0.000533053    	0.000617698    	0.0196675      	0.0847691      	7.3482e-10     	0.0127256      	2.68902e-09    	10             	1.25144e-08    	2.95846e-08    	0.00084128     	0.00683249     	4.33678e-07    	8.14636e-06    	0.000704398    	0.000631025    	7.24925e-05    	0.000236795    	8.65951e-10    	0.00735697     	2.71569e-09    	0.0406102      	87             	2.54478e-08    	9.08044e-08    	0.000619191    	9.65457e-06    	4.61556e-07    	8.33378e-06    	0.000683051    	0.00062208     	0.000122269    	9.35658e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.38938e-08    	8.26146e-08    	0.000639477    	6.43425e-22    	-0.00141379            	-2.32234e-12           	-0.00469584            	-2.0068e-11            	2.58577e-07            	-1.47143e-14           	-0.000428475           	6.72e-10               	-0.000134559           	-0.000309301           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.41426e-07    	1.02913e-05    	0.000492731    	0.000557525    	0.000643076    	0.0194613      	0.0847682      	7.34818e-10    	0.0127239      	2.68901e-09    	10             	1.30302e-08    	3.23043e-08    	0.000845876    	0.00703868     	4.35231e-07    	8.15201e-06    	0.000704604    	0.000631323    	7.22278e-05    	0.000236829    	8.65951e-10    	0.00735697     	2.7157e-09     	0.0406102      	87             	2.53575e-08    	9.051e-08      	0.00062158     	9.62068e-06    	4.35231e-07    	8.15201e-06    	0.000704604    	0.000631323    	7.22278e-05    	9.60963e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.53575e-08    	9.051e-08      	0.00062158     	3.90371e-22    	-0.00141422            	-2.40842e-12           	-0.0025731             	-1.97319e-11           	2.51871e-07            	-1.47143e-14           	-0.000462432           	6.58519e-10            	-0.000140714           	-0.000215445           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.28107e-07    	1.03564e-05    	0.000505095    	0.000571248    	0.000652764    	0.0193838      	0.0847672      	7.34817e-10    	0.012723       	2.68899e-09    	10             	1.32519e-08    	3.37102e-08    	0.000852598    	0.00711625     	4.35858e-07    	8.15211e-06    	0.000705433    	0.000631858    	7.06117e-05    	0.000237036    	8.65951e-10    	0.00735696     	2.7157e-09     	0.0406102      	87             	2.53219e-08    	9.0493e-08     	0.000623184    	9.41365e-06    	4.35858e-07    	8.15211e-06    	0.000705433    	0.000631858    	7.06117e-05    	9.61803e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.53219e-08    	9.0493e-08     	0.000623184    	3.8197e-22     	-0.00142232            	-2.47182e-12           	-0.00132025            	-1.95236e-11           	2.58828e-07            	-1.47143e-14           	-0.000459526           	6.56701e-10            	-0.000143655           	-0.000170996           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	8.25053e-07    	1.04297e-05    	0.000513326    	0.000580426    	0.000659565    	0.0193297      	0.0847662      	7.34815e-10    	0.0127226      	2.68898e-09    	10             	1.33091e-08    	3.44286e-08    	0.000862774    	0.00717034     	4.36309e-07    	8.15073e-06    	0.000706219    	0.000632332    	6.90176e-05    	0.000237241    	8.65951e-10    	0.00735696     	2.71571e-09    	0.0406102      	87             	2.52966e-08    	9.05063e-08    	0.000624502    	9.20908e-06    	4.36309e-07    	8.15073e-06    	0.000706219    	0.000632332    	6.90176e-05    	9.62633e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.52966e-08    	9.05063e-08    	0.000624502    	3.73669e-22    	-0.00152532            	-2.49849e-12           	-0.000660513           	-1.94133e-11           	2.92856e-07            	-1.47143e-14           	-0.00044688            	6.57825e-10            	-0.000157873           	-0.000145609           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.28277e-07    	1.05265e-05    	0.00052004     	0.000587963    	0.000668472    	0.0192593      	0.0847651      	7.34813e-10    	0.0127224      	2.68897e-09    	10             	1.32638e-08    	3.47779e-08    	0.000877043    	0.00724073     	4.36556e-07    	8.15069e-06    	0.000707259    	0.000633       	6.74693e-05    	0.00023744     	8.65951e-10    	0.00735696     	2.71571e-09    	0.0406102      	87             	2.52835e-08    	9.05969e-08    	0.000625748    	9.01004e-06    	4.36556e-07    	8.15069e-06    	0.000707259    	0.000633       	6.74693e-05    	9.63441e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.52835e-08    	9.05969e-08    	0.000625748    	3.65593e-22    	-0.00169018            	-2.52093e-12           	-0.00027386            	-1.93517e-11           	3.49899e-07            	-1.47143e-14           	-0.000434748           	6.59066e-10            	-0.000181354           	-0.00012638            
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.36626e-07    	1.06404e-05    	0.000525739    	0.000594404    	0.000679061    	0.0191763      	0.0847638      	7.34812e-10    	0.0127224      	2.68895e-09    	10             	1.31369e-08    	3.48378e-08    	0.000895219    	0.00732373     	4.36471e-07    	8.15055e-06    	0.000708574    	0.000633843    	6.59535e-05    	0.000237635    	8.65951e-10    	0.00735695     	2.71572e-09    	0.0406102      	87             	2.52899e-08    	9.07938e-08    	0.000626753    	8.81486e-06    	4.36471e-07    	8.15055e-06    	0.000708574    	0.000633843    	6.59535e-05    	9.64233e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.52899e-08    	9.07938e-08    	0.000626753    	3.57673e-22    	-0.0020151             	-2.55095e-12           	-9.84085e-06           	-1.93132e-11           	4.6619e-07             	-1.47143e-14           	-0.000423072           	6.6144e-10             	-0.000229906           	-0.000110952           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	8.43571e-07    	9.85185e-06    	0.000469558    	0.000531901    	0.000589523    	0.0199016      	0.0847628      	7.3481e-10     	0.0127225      	2.68894e-09    	10             	1.29744e-08    	3.05978e-08    	0.000809563    	0.00659844     	4.4026e-07     	8.17323e-06    	0.000706324    	0.000633084    	7.04973e-05    	0.000237051    	8.65951e-10    	0.00735695     	2.71572e-09    	0.0406102      	87             	2.50706e-08    	8.97145e-08    	0.000630228    	9.39898e-06    	5.62146e-07    	8.83353e-06    	0.000613166    	0.000593283    	0.000274661    	8.66195e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.95721e-08    	6.06005e-08    	0.000700801    	1.33805e-21    	-0.00146795            	-2.58652e-12           	0.000175166            	-1.92891e-11           	3.2494e-07             	-1.47143e-14           	-0.00041184            	6.65151e-10            	-0.000152482           	-7.42062e-05           
