Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	2.4765649112	1.116	0.0	7.9	1.57	1.93	0.0	0.00	132.3	0.0	8.0	11.9	0.000	1.5251188251	0.9514460862	2.469	0.008
20151002	1.8847651781	0.592	0.0	5.9	1.45	1.81	0.0	0.00	130.8	0.0	4.0	14.0	0.000	0.7658998131	1.118865365	1.879	0.006
20151003	1.4020849440	0.452	0.0	6.2	1.24	1.57	0.0	0.00	129.6	0.0	0.7	16.0	0.000	0.128155843	1.2739291011	1.397	0.005
20151004	1.2295671148	0.376	0.0	6.4	1.27	1.61	0.0	0.00	128.3	0.0	0.0	15.4	0.000	0.000	1.2295671148	1.225	0.004
20151005	1.1388250617	0.340	0.0	7.3	0.96	1.24	0.0	0.00	127.4	0.0	0.0	14.3	0.000	0.000	1.1388250617	1.135	0.004
20151006	1.0579777592	0.319	0.1	8.6	0.99	1.29	0.0	0.00	126.4	0.0	0.0	13.3	0.000	0.000	1.0579777592	1.054	0.004
20151007	0.9798990006	0.314	0.0	10.8	1.35	1.77	0.0	0.00	125.1	0.0	0.0	12.3	0.000	0.000	0.9798990006	0.976	0.003
20151008	0.9075824543	0.308	0.0	7.1	1.47	1.94	0.0	0.00	123.6	0.0	0.0	11.4	0.000	0.000	0.9075824543	0.904	0.003
20151009	1.7771293982	1.196	17.1	7.1	1.07	1.38	0.0	0.00	132.0	7.6	3.7	13.5	0.000	0.698890529	1.0782388692	1.772	0.005
20151010	1.3315427041	0.728	0.3	4.9	1.31	1.64	0.0	0.00	130.9	0.1	0.5	15.5	0.000	0.0952418635	1.2363008407	1.328	0.004
20151011	1.1819632986	0.533	0.0	9.3	1.16	1.47	0.0	0.00	129.7	0.0	0.0	14.8	0.000	0.000	1.1819632986	1.178	0.004
20151012	1.0947344072	0.467	0.0	13.4	1.07	1.36	0.0	0.00	128.7	0.0	0.0	13.7	0.000	0.000	1.0947344072	1.091	0.003
20151013	1.1837257077	0.469	5.0	13.2	1.64	2.08	0.0	0.00	129.7	2.3	0.0	14.9	0.000	0.000	1.1837257077	1.180	0.003
20151014	1.2669935730	0.666	4.9	6.0	1.59	2.00	0.0	0.00	130.7	2.3	0.0	15.9	0.000	0.000	1.266993573	1.263	0.004
20151015	1.1734894473	0.539	0.0	6.4	1.28	1.61	0.0	0.00	129.4	0.0	0.0	14.7	0.000	0.000	1.1734894473	1.170	0.003
20151016	1.1616518217	0.553	2.2	4.2	1.58	2.01	0.0	0.00	129.0	1.0	0.0	14.6	0.000	0.000	1.1616518217	1.158	0.003
20151017	1.3413752020	0.594	7.2	-0.6	1.60	2.01	0.0	0.00	131.3	3.4	0.1	16.5	0.000	0.0278172847	1.3135579172	1.338	0.003
20151018	1.2273951499	0.564	0.8	-3.3	1.41	1.78	0.6	1.00	129.8	0.0	0.0	15.4	0.000	0.000	1.2273951499	1.224	0.003
20151019	1.1368133878	0.516	0.8	-2.3	0.00	1.73	1.2	1.00	129.8	0.0	0.0	14.3	0.000	0.000	1.1368133878	1.134	0.003
20151020	1.1087475002	0.569	0.4	7.1	0.00	1.22	0.0	0.00	130.7	0.8	0.0	13.9	0.000	0.000	1.1087475002	1.105	0.003
20151021	1.0582234297	0.528	0.9	9.6	0.64	0.81	0.0	0.00	130.5	0.4	0.0	13.3	0.000	0.000	1.0582234297	1.055	0.003
20151022	1.0147621408	0.495	1.0	10.5	1.31	1.65	0.0	0.00	129.8	0.5	0.0	12.7	0.000	0.000	1.0147621408	1.011	0.004
